url,observation_mode,success_rate,avg_steps,avg_duration,n_tasks,n_success,compliance_score,violation_rate,wab_score,total_violations,rules_violated,rules_passed,impact_serious,level_AA,rule_target-size,impact_critical,level_A,rule_aria-allowed-attr,rule_aria-valid-attr-value,rule_list,rule_color-contrast,rule_image-alt,rule_link-name,rule_button-name,rule_label,rule_html-has-lang,rule_meta-viewport,rule_aria-hidden-focus,rule_aria-progressbar-name,rule_aria-toggle-field-name,rule_aria-prohibited-attr,rule_nested-interactive,rule_document-title,rule_svg-img-alt,rule_definition-list,rule_listitem,rule_role-img-alt,rule_aria-required-children,rule_aria-required-attr,rule_aria-required-parent,rule_link-in-text-block,rule_meta-refresh,rule_frame-title,rule_aria-valid-attr,rule_select-name,rule_aria-roles,rule_scrollable-region-focusable,rule_aria-command-name
https://www.ox.ac.uk,accessibility_tree,0.3333333333333333,8.0,48.89222222222222,9,3,1.0,0.0,0.0,0,0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.ox.ac.uk,dom,0.3333333333333333,7.888888888888889,53.986666666666665,9,3,1.0,0.0,0.0,0,0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.ox.ac.uk,screenshot,0.3333333333333333,7.888888888888889,100.68666666666667,9,3,1.0,0.0,0.0,0,0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.parliament.uk,accessibility_tree,0.1111111111111111,8.0,56.388888888888886,9,1,1.0,0.0,0.0,0,0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.parliament.uk,dom,0.0,8.0,49.468888888888884,9,0,1.0,0.0,0.0,0,0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.parliament.uk,screenshot,0.0,7.333333333333333,101.61666666666666,9,0,1.0,0.0,0.0,0,0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.patient.info,accessibility_tree,1.0,2.3333333333333335,11.602222222222222,9,9,0.9655,0.0345,0.5172,15,1,28,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.patient.info,dom,0.6666666666666666,4.333333333333333,58.00888888888888,9,6,0.9655,0.0345,0.5172,15,1,28,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.patient.info,screenshot,0.8888888888888888,4.111111111111111,24.833333333333332,9,8,0.9655,0.0345,0.5172,15,1,28,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.pennmedicine.org,accessibility_tree,1.0,5.444444444444445,49.855555555555554,9,9,1.0,0.0,0.0,0,0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.pennmedicine.org,dom,0.8888888888888888,4.555555555555555,62.550000000000004,9,8,1.0,0.0,0.0,0,0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.pennmedicine.org,screenshot,0.6666666666666666,6.333333333333333,45.31888888888889,9,6,1.0,0.0,0.0,0,0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.pluralsight.com,accessibility_tree,0.0,6.888888888888889,39.70444444444445,9,0,0.9375,0.0625,0.2812,9,2,30,9.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.pluralsight.com,dom,0.0,7.111111111111111,44.41,9,0,0.9375,0.0625,0.2812,9,2,30,9.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.pluralsight.com,screenshot,0.0,6.666666666666667,105.53000000000002,9,0,0.9375,0.0625,0.2812,9,2,30,9.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.politico.com,accessibility_tree,0.1111111111111111,7.666666666666667,44.095555555555556,9,1,0.8286,0.1714,0.5714,20,6,29,18.0,10.0,1.0,2.0,10.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
https://www.politico.com,dom,0.2222222222222222,7.777777777777778,47.3,9,2,0.8286,0.1714,0.5714,20,6,29,18.0,10.0,1.0,2.0,10.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
https://www.politico.com,screenshot,0.1111111111111111,7.333333333333333,103.90444444444444,9,1,0.8286,0.1714,0.5714,20,6,29,18.0,10.0,1.0,2.0,10.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
https://www.princeton.edu,accessibility_tree,0.8888888888888888,4.0,28.299999999999997,9,8,1.0,0.0,0.0,0,0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.princeton.edu,dom,1.0,3.6666666666666665,31.688888888888886,9,9,1.0,0.0,0.0,0,0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://www.princeton.edu,screenshot,0.6666666666666666,6.444444444444445,96.40666666666667,9,6,1.0,0.0,0.0,0,0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
