url,domain,sector,task_id,category,observation_mode,success,verified_success,self_reported_success,total_steps,duration_seconds,compliance_bin
https://www.booking.com,booking.com,ecommerce,booking.com::navigation,navigation,screenshot,0,0,0,8,174.71,high
https://www.booking.com,booking.com,ecommerce,booking.com::navigation,navigation,dom,0,0,0,6,44.58,high
https://www.booking.com,booking.com,ecommerce,booking.com::navigation,navigation,screenshot,0,0,0,8,103.13,high
https://www.booking.com,booking.com,ecommerce,booking.com::search,search,accessibility_tree,0,0,0,8,161.72,high
https://www.booking.com,booking.com,ecommerce,booking.com::navigation,navigation,screenshot,0,0,0,8,238.52,high
https://www.booking.com,booking.com,ecommerce,booking.com::search,search,dom,1,1,1,7,121.34,high
https://www.booking.com,booking.com,ecommerce,booking.com::search,search,dom,1,1,1,5,69.98,high
https://www.booking.com,booking.com,ecommerce,booking.com::search,search,accessibility_tree,0,0,0,8,181.72,high
https://www.booking.com,booking.com,ecommerce,booking.com::search,search,accessibility_tree,0,0,0,8,168.98,high
https://www.booking.com,booking.com,ecommerce,booking.com::search,search,dom,0,1,0,8,203.25,high
https://www.booking.com,booking.com,ecommerce,booking.com::search,search,screenshot,0,0,0,8,278.43,high
https://www.booking.com,booking.com,ecommerce,booking.com::info,info,accessibility_tree,1,1,1,5,54.26,high
https://www.booking.com,booking.com,ecommerce,booking.com::search,search,screenshot,0,0,0,8,270.98,high
https://www.booking.com,booking.com,ecommerce,booking.com::info,info,accessibility_tree,1,1,1,4,64.88,high
https://www.booking.com,booking.com,ecommerce,booking.com::info,info,accessibility_tree,1,1,1,4,64.58,high
https://www.booking.com,booking.com,ecommerce,booking.com::info,info,dom,1,1,1,2,12.78,high
https://www.booking.com,booking.com,ecommerce,booking.com::info,info,dom,1,1,1,2,12.5,high
https://www.booking.com,booking.com,ecommerce,booking.com::info,info,dom,1,1,1,3,20.67,high
https://www.booking.com,booking.com,ecommerce,booking.com::search,search,screenshot,0,0,0,8,273.42,high
https://www.booking.com,booking.com,ecommerce,booking.com::info,info,screenshot,1,1,1,2,36.13,high
https://www.etsy.com,etsy.com,ecommerce,etsy.com::navigation,navigation,accessibility_tree,1,1,1,2,18.94,high
https://www.booking.com,booking.com,ecommerce,booking.com::info,info,screenshot,1,1,1,8,89.58,high
https://www.etsy.com,etsy.com,ecommerce,etsy.com::navigation,navigation,accessibility_tree,0,0,1,6,36.38,high
https://www.etsy.com,etsy.com,ecommerce,etsy.com::navigation,navigation,accessibility_tree,0,0,1,8,50.73,high
https://www.etsy.com,etsy.com,ecommerce,etsy.com::navigation,navigation,dom,0,0,0,5,27.14,high
https://www.etsy.com,etsy.com,ecommerce,etsy.com::navigation,navigation,dom,0,0,0,5,29.1,high
https://www.etsy.com,etsy.com,ecommerce,etsy.com::navigation,navigation,dom,0,0,0,6,34.24,high
https://www.booking.com,booking.com,ecommerce,booking.com::info,info,screenshot,0,0,0,8,190.75,high
https://www.etsy.com,etsy.com,ecommerce,etsy.com::navigation,navigation,screenshot,0,0,0,6,41.98,high
https://www.etsy.com,etsy.com,ecommerce,etsy.com::navigation,navigation,screenshot,0,1,0,7,58.5,high
https://www.etsy.com,etsy.com,ecommerce,etsy.com::navigation,navigation,screenshot,0,0,0,7,49.9,high
https://www.etsy.com,etsy.com,ecommerce,etsy.com::search,search,accessibility_tree,1,1,1,7,35.73,high
https://www.etsy.com,etsy.com,ecommerce,etsy.com::search,search,accessibility_tree,1,1,1,2,11.03,high
https://www.etsy.com,etsy.com,ecommerce,etsy.com::search,search,accessibility_tree,1,1,1,4,56.78,high
https://www.etsy.com,etsy.com,ecommerce,etsy.com::search,search,dom,0,0,0,5,30.37,high
